NIST,PCI
PE-2,7.1
IA-8,7.1
IA-5,7.1
IA-4,7.1
IA-2,7.1
IA-1,7.1
AC-24,7.1
AC-19,7.1
AC-3,7.1
AC-2,7.1
AC-1,7.1
AC-24,7.1
AC-16,7.1
AC-14,7.1
AC-6,7.1
AC-5,7.1
AC-3,7.1
AC-2,7.1
AC-1,7.1
CM-7,7.2
AC-3,7.2
PS-3,7.2
PE-2,7.2
IA-8,7.2
IA-5,7.2
IA-4,7.2
IA-2,7.2
IA-1,7.2
AC-24,7.2
AC-19,7.2
AC-3,7.2
AC-2,7.2
AC-1,7.2
AC-24,7.2
AC-16,7.2
AC-14,7.2
AC-6,7.2
AC-5,7.2
AC-3,7.2
AC-2,7.2
AC-1,7.2
SI-4,7.3
CA-7,7.3
AC-21,7.3
SA-10,7.3
CM-9,7.3
CM-7,7.3
CM-6,7.3
CM-5,7.3
CM-4,7.3
CM-3,7.3
CM-2,7.3
PM-13,7.3
AT-3,7.3
PM-11,7.3
PM-10,7.3
PM-9,7.3
PM-7,7.3
PM-3,7.3
SA-2,7.3
IA-11,8.1
IA-10,8.1
IA-9,8.1
IA-8,8.1
IA-7,8.1
IA-6,8.1
IA-5,8.1
IA-4,8.1
IA-3,8.1
IA-2,8.1
IA-1,8.1
AC-2,8.1
AC-1,8.1
SA-21,8.1.3
PS-8,8.1.3
PS-7,8.1.3
PS-6,8.1.3
PS-5,8.1.3
PS-4,8.1.3
PS-3,8.1.3
PS-2,8.1.3
PS-1,8.1.3
SI-4,8.1.5
SA-9,8.1.5
SA-4,8.1.5
PS-7,8.1.5
CA-7,8.1.5
MA-4,8.1.5
SC-15,8.1.5
AC-20,8.1.5
AC-19,8.1.5
AC-17,8.1.5
AC-1,8.1.5
SA-9,8.1.5
AC-20,8.1.5
IA-11,8.2
IA-10,8.2
IA-9,8.2
IA-8,8.2
IA-7,8.2
IA-6,8.2
IA-5,8.2
IA-4,8.2
IA-3,8.2
IA-2,8.2
IA-1,8.2
AC-2,8.2
AC-1,8.2
PS-3,8.2.2
PE-2,8.2.2
IA-8,8.2.2
IA-5,8.2.2
IA-4,8.2.2
IA-2,8.2.2
IA-1,8.2.2
AC-24,8.2.2
AC-19,8.2.2
AC-3,8.2.2
AC-2,8.2.2
AC-1,8.2.2
MA-4,8.3
SC-15,8.3
AC-20,8.3
AC-19,8.3
AC-17,8.3
AC-1,8.3
MA-4,8.5.1
SC-15,8.5.1
AC-20,8.5.1
AC-19,8.5.1
AC-17,8.5.1
AC-1,8.5.1
SI-4,8.8
CA-7,8.8
AC-21,8.8
SA-10,8.8
CM-9,8.8
CM-7,8.8
CM-6,8.8
CM-5,8.8
CM-4,8.8
CM-3,8.8
CM-2,8.8
PM-11,8.8
PM-10,8.8
PM-9,8.8
PM-7,8.8
PM-3,8.8
SA-2,8.8
PE-8,9.1
PE-6,9.1
PE-5,9.1
PE-4,9.1
PE-3,9.1
PE-2,9.1
PE-8,9.1
PE-6,9.1
PE-5,9.1
PE-4,9.1
PE-3,9.1
PE-2,9.1
CM-11,9.1.1
CM-10,9.1.1
CA-7,9.1.1
AU-13,9.1.1
AU-12,9.1.1
AC-2,9.1.1
PE-20,9.1.1
PE-6,9.1.1
PE-3,9.1.1
CA-7,9.1.1
PE-8,9.2
PE-6,9.2
PE-5,9.2
PE-4,9.2
PE-3,9.2
PE-2,9.2
CM-7,9.3
AC-3,9.3
PE-8,9.3
PE-6,9.3
PE-5,9.3
PE-4,9.3
PE-3,9.3
PE-2,9.3
PE-8,9.4
PE-6,9.4
PE-5,9.4
PE-4,9.4
PE-3,9.4
PE-2,9.4
MP-8,9.5
MP-7,9.5
MP-5,9.5
MP-4,9.5
MP-3,9.5
MP-2,9.5
PE-16,9.5
MP-6,9.5
CM-8,9.5
PE-8,9.5
PE-6,9.5
PE-5,9.5
PE-4,9.5
PE-3,9.5
PE-2,9.5
CP-9,9.5.1
CP-6,9.5.1
CP-4,9.5.1
PE-16,9.6
MP-6,9.6
CM-8,9.6
SC-6,9.6.1
SA-14,9.6.1
RA-2,9.6.1
CP-2,9.6.1
PE-16,9.7
MP-6,9.7
CM-8,9.7
MP-6,9.8
PE-16,9.8
MP-6,9.8
CM-8,9.8
PE-16,9.9
MP-6,9.9
CM-8,9.9
PE-8,9.9
PE-6,9.9
PE-5,9.9
PE-4,9.9
PE-3,9.9
PE-2,9.9
PM-5,9.9
CM-8,9.9
PM-13,9.9.3
AT-2,9.9.3
